Year,Product Name,Product Category,City,State,Returns,Quantity,Price,Gross Sales,Date
2022,Lip Liner Cream Pencil,Lips,Dallas,TX,11,181,10," 1,810.00 ",5/1/2022
2024,Glossy Lip Stain,Lips,Chicago,IL,2,94,8, 752.00 ,3/1/2024
2023,Velvet Eyeshadow Palette,Eyes,Chicago,IL,4,86,20," 1,720.00 ",7/1/2023
2021,Glossy Lip Stain,Lips,Los Angeles,CA,7,97,8, 776.00 ,4/1/2021
2024,Glossy Lip Stain,Lips,Detroit,MI,18,69,8, 552.00 ,11/1/2024
2023,Radiant Concealer,Face,Chicago,IL,2,172,30," 5,160.00 ",8/1/2023
2023,Illuminating Highlighter,Face,San Diego,CA,4,50,25," 1,250.00 ",12/1/2023
2023,Glossy Lip Stain,Lips,Detroit,MI,2,137,8," 1,096.00 ",5/1/2023
2024,Lip Liner Cream Pencil,Lips,Houston,TX,13,175,10," 1,750.00 ",4/1/2024
2023,Cream Blush,Face,Las Vegas,NV,7,109,25," 2,725.00 ",7/1/2023
2022,Flawless Foundation,Face,Washington D.C.,DC,1,52,40," 2,080.00 ",7/1/2022
2024,Illuminating Highlighter,Face,Philadelphia,PA,13,82,25," 2,050.00 ",12/1/2024
2023,Matte Liquid Lipstick,Lips,San Francisco,CA,8,164,12," 1,968.00 ",9/1/2023
2022,Flawless Foundation,Face,Atlanta,GA,10,163,40," 6,520.00 ",6/1/2022
2023,Flawless Foundation,Face,Boston,MA,9,162,40," 6,480.00 ",7/1/2023
2022,Luxe Mascara,Eyes,New York,NY,17,64,15, 960.00 ,4/1/2022
2021,Illuminating Highlighter,Face,New York,NY,3,143,25," 3,575.00 ",11/1/2021
2021,Glossy Lip Stain,Lips,Los Angeles,CA,16,94,8, 752.00 ,7/1/2021
2024,Lip Liner Cream Pencil,Lips,Phoenix,AZ,10,134,10," 1,340.00 ",6/1/2024
2023,Radiant Concealer,Face,Philadelphia,PA,4,173,30," 5,190.00 ",12/1/2023
2024,Flawless Foundation,Face,Atlanta,GA,8,95,40," 3,800.00 ",8/1/2024
2021,Matte Liquid Lipstick,Lips,San Francisco,CA,7,174,12," 2,088.00 ",12/1/2021
2022,Cream Blush,Face,Las Vegas,NV,6,129,25," 3,225.00 ",5/1/2022
2024,Radiant Concealer,Face,Los Angeles,CA,17,121,30," 3,630.00 ",2/1/2024
2023,Illuminating Highlighter,Face,Philadelphia,PA,9,195,25," 4,875.00 ",10/1/2023
2023,Flawless Foundation,Face,Chicago,IL,13,51,40," 2,040.00 ",9/1/2023
2021,Cream Blush,Face,San Diego,CA,5,54,25," 1,350.00 ",11/1/2021
2024,Lip Liner Cream Pencil,Lips,Miami,FL,14,190,10," 1,900.00 ",5/1/2024
2024,Lip Liner Cream Pencil,Lips,Miami,FL,14,56,10, 560.00 ,12/1/2024
2024,Glossy Lip Stain,Lips,Phoenix,AZ,9,162,8," 1,296.00 ",10/1/2024
2024,Precision Eyeliner,Eyes,Miami,FL,6,56,10, 560.00 ,3/1/2024
2021,Velvet Eyeshadow Palette,Eyes,Boston,MA,17,106,20," 2,120.00 ",1/1/2021
2023,Flawless Foundation,Face,Los Angeles,CA,4,106,40," 4,240.00 ",12/1/2023
2023,Radiant Concealer,Face,Houston,TX,15,91,30," 2,730.00 ",8/1/2023
2024,Velvet Eyeshadow Palette,Eyes,Los Angeles,CA,4,158,20," 3,160.00 ",9/1/2024
2022,Cream Blush,Face,Chicago,IL,14,180,25," 4,500.00 ",2/1/2022
2022,Matte Liquid Lipstick,Lips,Phoenix,AZ,18,44,12, 528.00 ,6/1/2022
2024,Flawless Foundation,Face,Boston,MA,17,107,40," 4,280.00 ",8/1/2024
2022,Radiant Concealer,Face,Chicago,IL,7,144,30," 4,320.00 ",8/1/2022
2022,Matte Liquid Lipstick,Lips,Washington D.C.,DC,6,143,12," 1,716.00 ",6/1/2022
2022,Glossy Lip Stain,Lips,Philadelphia,PA,13,70,8, 560.00 ,8/1/2022
2021,Precision Eyeliner,Eyes,Phoenix,AZ,18,173,10," 1,730.00 ",8/1/2021
2024,Lip Liner Cream Pencil,Lips,Houston,TX,13,130,10," 1,300.00 ",2/1/2024
2021,Luxe Mascara,Eyes,Washington D.C.,DC,15,51,15, 765.00 ,2/1/2021
2021,Flawless Foundation,Face,Washington D.C.,DC,9,70,40," 2,800.00 ",4/1/2021
2024,Luxe Mascara,Eyes,Philadelphia,PA,17,49,15, 735.00 ,5/1/2024
2024,Radiant Concealer,Face,Philadelphia,PA,14,60,30," 1,800.00 ",3/1/2024
2021,Glossy Lip Stain,Lips,Miami,FL,15,127,8," 1,016.00 ",4/1/2021
2023,Velvet Eyeshadow Palette,Eyes,San Francisco,CA,17,136,20," 2,720.00 ",4/1/2023
2024,Cream Blush,Face,Phoenix,AZ,14,89,25," 2,225.00 ",3/1/2024
2023,Radiant Concealer,Face,Phoenix,AZ,13,99,30," 2,970.00 ",6/1/2023
2024,Precision Eyeliner,Eyes,Boston,MA,4,134,10," 1,340.00 ",12/1/2024
2021,Velvet Eyeshadow Palette,Eyes,Phoenix,AZ,1,117,20," 2,340.00 ",1/1/2021
2021,Glossy Lip Stain,Lips,Houston,TX,8,198,8," 1,584.00 ",12/1/2021
2021,Precision Eyeliner,Eyes,Atlanta,GA,2,156,10," 1,560.00 ",4/1/2021
2024,Radiant Concealer,Face,Chicago,IL,12,100,30," 3,000.00 ",1/1/2024
2022,Glossy Lip Stain,Lips,Las Vegas,NV,12,165,8," 1,320.00 ",6/1/2022
2024,Matte Liquid Lipstick,Lips,Atlanta,GA,8,193,12," 2,316.00 ",12/1/2024
2023,Radiant Concealer,Face,Detroit,MI,19,121,30," 3,630.00 ",9/1/2023
2023,Radiant Concealer,Face,San Diego,CA,13,191,30," 5,730.00 ",4/1/2023
2023,Matte Liquid Lipstick,Lips,San Francisco,CA,8,92,12," 1,104.00 ",1/1/2023
2022,Precision Eyeliner,Eyes,Houston,TX,13,44,10, 440.00 ,5/1/2022
2022,Illuminating Highlighter,Face,Dallas,TX,19,141,25," 3,525.00 ",4/1/2022
2024,Matte Liquid Lipstick,Lips,Washington D.C.,DC,18,48,12, 576.00 ,6/1/2024
2022,Glossy Lip Stain,Lips,Boston,MA,7,133,8," 1,064.00 ",11/1/2022
2024,Radiant Concealer,Face,Philadelphia,PA,9,188,30," 5,640.00 ",4/1/2024
2023,Lip Liner Cream Pencil,Lips,Chicago,IL,12,187,10," 1,870.00 ",9/1/2023
2024,Glossy Lip Stain,Lips,Atlanta,GA,15,109,8, 872.00 ,7/1/2024
2021,Precision Eyeliner,Eyes,San Diego,CA,4,69,10, 690.00 ,12/1/2021
2023,Velvet Eyeshadow Palette,Eyes,Phoenix,AZ,6,55,20," 1,100.00 ",9/1/2023
2021,Illuminating Highlighter,Face,Boston,MA,5,87,25," 2,175.00 ",12/1/2021
2024,Illuminating Highlighter,Face,New York,NY,5,56,25," 1,400.00 ",1/1/2024
2023,Illuminating Highlighter,Face,New York,NY,12,170,25," 4,250.00 ",12/1/2023
2021,Matte Liquid Lipstick,Lips,Boston,MA,6,89,12," 1,068.00 ",6/1/2021
2022,Illuminating Highlighter,Face,New York,NY,17,110,25," 2,750.00 ",3/1/2022
2024,Cream Blush,Face,San Diego,CA,5,153,25," 3,825.00 ",4/1/2024
2021,Flawless Foundation,Face,New York,NY,11,96,40," 3,840.00 ",4/1/2021
2023,Cream Blush,Face,Miami,FL,11,108,25," 2,700.00 ",6/1/2023
2022,Lip Liner Cream Pencil,Lips,Phoenix,AZ,15,133,10," 1,330.00 ",3/1/2022
2023,Cream Blush,Face,Las Vegas,NV,8,75,25," 1,875.00 ",12/1/2023
2021,Glossy Lip Stain,Lips,Boston,MA,3,148,8," 1,184.00 ",10/1/2021
2022,Luxe Mascara,Eyes,Philadelphia,PA,5,97,15," 1,455.00 ",6/1/2022
2024,Lip Liner Cream Pencil,Lips,Boston,MA,7,131,10," 1,310.00 ",7/1/2024
2022,Luxe Mascara,Eyes,Chicago,IL,8,184,15," 2,760.00 ",5/1/2022
2023,Luxe Mascara,Eyes,Washington D.C.,DC,9,65,15, 975.00 ,9/1/2023
2022,Precision Eyeliner,Eyes,New York,NY,10,55,10, 550.00 ,11/1/2022
2024,Lip Liner Cream Pencil,Lips,San Diego,CA,19,122,10," 1,220.00 ",4/1/2024
2022,Matte Liquid Lipstick,Lips,Washington D.C.,DC,15,167,12," 2,004.00 ",11/1/2022
2023,Precision Eyeliner,Eyes,Los Angeles,CA,17,107,10," 1,070.00 ",7/1/2023
2023,Luxe Mascara,Eyes,Washington D.C.,DC,1,40,15, 600.00 ,7/1/2023
2024,Matte Liquid Lipstick,Lips,Los Angeles,CA,14,114,12," 1,368.00 ",4/1/2024
2022,Velvet Eyeshadow Palette,Eyes,Boston,MA,18,145,20," 2,900.00 ",8/1/2022
2021,Radiant Concealer,Face,Miami,FL,18,176,30," 5,280.00 ",1/1/2021
2023,Flawless Foundation,Face,Los Angeles,CA,11,57,40," 2,280.00 ",12/1/2023
2023,Flawless Foundation,Face,Boston,MA,17,107,40," 4,280.00 ",10/1/2023
2023,Luxe Mascara,Eyes,Houston,TX,5,110,15," 1,650.00 ",2/1/2023
2021,Radiant Concealer,Face,Houston,TX,10,87,30," 2,610.00 ",3/1/2021
2021,Precision Eyeliner,Eyes,San Diego,CA,14,194,10," 1,940.00 ",2/1/2021
2022,Precision Eyeliner,Eyes,Houston,TX,6,69,10, 690.00 ,8/1/2022
2021,Radiant Concealer,Face,Las Vegas,NV,4,51,30," 1,530.00 ",7/1/2021
2021,Illuminating Highlighter,Face,Los Angeles,CA,7,133,25," 3,325.00 ",5/1/2021
2023,Luxe Mascara,Eyes,Phoenix,AZ,15,176,15," 2,640.00 ",4/1/2023
2021,Illuminating Highlighter,Face,Las Vegas,NV,13,185,25," 4,625.00 ",1/1/2021
2022,Glossy Lip Stain,Lips,Phoenix,AZ,3,186,8," 1,488.00 ",8/1/2022
2021,Precision Eyeliner,Eyes,Washington D.C.,DC,17,170,10," 1,700.00 ",7/1/2021
2023,Lip Liner Cream Pencil,Lips,Detroit,MI,10,152,10," 1,520.00 ",12/1/2023
2021,Precision Eyeliner,Eyes,Philadelphia,PA,5,128,10," 1,280.00 ",4/1/2021
2022,Precision Eyeliner,Eyes,Chicago,IL,10,195,10," 1,950.00 ",4/1/2022
2023,Luxe Mascara,Eyes,San Diego,CA,7,56,15, 840.00 ,5/1/2023
2021,Illuminating Highlighter,Face,Miami,FL,11,186,25," 4,650.00 ",9/1/2021
2022,Lip Liner Cream Pencil,Lips,San Diego,CA,4,195,10," 1,950.00 ",3/1/2022
2021,Cream Blush,Face,Detroit,MI,7,123,25," 3,075.00 ",5/1/2021
2024,Cream Blush,Face,Boston,MA,12,81,25," 2,025.00 ",4/1/2024
2024,Velvet Eyeshadow Palette,Eyes,New York,NY,5,153,20," 3,060.00 ",11/1/2024
2021,Glossy Lip Stain,Lips,Philadelphia,PA,5,92,8, 736.00 ,12/1/2021
2023,Luxe Mascara,Eyes,Philadelphia,PA,6,193,15," 2,895.00 ",10/1/2023
2022,Illuminating Highlighter,Face,Boston,MA,9,76,25," 1,900.00 ",4/1/2022
2024,Flawless Foundation,Face,Washington D.C.,DC,13,56,40," 2,240.00 ",4/1/2024
2024,Cream Blush,Face,Phoenix,AZ,3,107,25," 2,675.00 ",6/1/2024
2024,Radiant Concealer,Face,Boston,MA,16,40,30," 1,200.00 ",5/1/2024
2024,Lip Liner Cream Pencil,Lips,Las Vegas,NV,17,145,10," 1,450.00 ",5/1/2024
2024,Glossy Lip Stain,Lips,San Diego,CA,3,179,8," 1,432.00 ",8/1/2024
2021,Cream Blush,Face,Philadelphia,PA,4,54,25," 1,350.00 ",5/1/2021
2022,Lip Liner Cream Pencil,Lips,Houston,TX,6,45,10, 450.00 ,6/1/2022
2022,Illuminating Highlighter,Face,Washington D.C.,DC,3,183,25," 4,575.00 ",10/1/2022
2023,Lip Liner Cream Pencil,Lips,Philadelphia,PA,6,119,10," 1,190.00 ",11/1/2023
2021,Velvet Eyeshadow Palette,Eyes,Los Angeles,CA,12,103,20," 2,060.00 ",9/1/2021
2022,Precision Eyeliner,Eyes,Atlanta,GA,3,174,10," 1,740.00 ",5/1/2022
2021,Lip Liner Cream Pencil,Lips,San Diego,CA,14,167,10," 1,670.00 ",2/1/2021
2022,Illuminating Highlighter,Face,Detroit,MI,9,185,25," 4,625.00 ",4/1/2022
2024,Precision Eyeliner,Eyes,Detroit,MI,19,48,10, 480.00 ,3/1/2024
2022,Glossy Lip Stain,Lips,Dallas,TX,3,165,8," 1,320.00 ",9/1/2022
2022,Velvet Eyeshadow Palette,Eyes,Boston,MA,6,41,20, 820.00 ,4/1/2022
2021,Precision Eyeliner,Eyes,New York,NY,7,50,10, 500.00 ,5/1/2021
2022,Illuminating Highlighter,Face,San Diego,CA,12,176,25," 4,400.00 ",1/1/2022
2024,Velvet Eyeshadow Palette,Eyes,San Diego,CA,4,148,20," 2,960.00 ",10/1/2024
2022,Illuminating Highlighter,Face,Chicago,IL,16,114,25," 2,850.00 ",8/1/2022
2023,Cream Blush,Face,Miami,FL,18,187,25," 4,675.00 ",11/1/2023
2024,Precision Eyeliner,Eyes,Las Vegas,NV,19,126,10," 1,260.00 ",5/1/2024
2023,Flawless Foundation,Face,Atlanta,GA,12,101,40," 4,040.00 ",12/1/2023
2021,Precision Eyeliner,Eyes,Boston,MA,17,48,10, 480.00 ,12/1/2021
2022,Glossy Lip Stain,Lips,Atlanta,GA,14,93,8, 744.00 ,9/1/2022
2022,Radiant Concealer,Face,Miami,FL,10,161,30," 4,830.00 ",4/1/2022
2021,Velvet Eyeshadow Palette,Eyes,San Diego,CA,1,193,20," 3,860.00 ",3/1/2021
2024,Luxe Mascara,Eyes,San Diego,CA,8,136,15," 2,040.00 ",5/1/2024
2021,Velvet Eyeshadow Palette,Eyes,San Francisco,CA,7,120,20," 2,400.00 ",6/1/2021
2022,Flawless Foundation,Face,San Francisco,CA,6,98,40," 3,920.00 ",8/1/2022
2022,Glossy Lip Stain,Lips,Detroit,MI,15,71,8, 568.00 ,4/1/2022
2022,Cream Blush,Face,Houston,TX,3,61,25," 1,525.00 ",5/1/2022
2021,Luxe Mascara,Eyes,New York,NY,15,97,15," 1,455.00 ",10/1/2021
2024,Radiant Concealer,Face,Los Angeles,CA,15,132,30," 3,960.00 ",9/1/2024
2022,Glossy Lip Stain,Lips,Atlanta,GA,10,79,8, 632.00 ,7/1/2022
2021,Luxe Mascara,Eyes,Miami,FL,5,140,15," 2,100.00 ",4/1/2021
2024,Velvet Eyeshadow Palette,Eyes,Las Vegas,NV,3,192,20," 3,840.00 ",3/1/2024
2023,Matte Liquid Lipstick,Lips,San Francisco,CA,3,119,12," 1,428.00 ",8/1/2023
2024,Radiant Concealer,Face,Washington D.C.,DC,13,99,30," 2,970.00 ",6/1/2024
2021,Precision Eyeliner,Eyes,Houston,TX,5,75,10, 750.00 ,10/1/2021
2024,Glossy Lip Stain,Lips,Phoenix,AZ,5,140,8," 1,120.00 ",11/1/2024
2023,Precision Eyeliner,Eyes,Chicago,IL,11,184,10," 1,840.00 ",2/1/2023
2021,Matte Liquid Lipstick,Lips,Los Angeles,CA,3,185,12," 2,220.00 ",11/1/2021
2023,Flawless Foundation,Face,Phoenix,AZ,5,53,40," 2,120.00 ",5/1/2023
2023,Matte Liquid Lipstick,Lips,Las Vegas,NV,1,72,12, 864.00 ,7/1/2023
2024,Flawless Foundation,Face,Atlanta,GA,2,51,40," 2,040.00 ",1/1/2024
2023,Lip Liner Cream Pencil,Lips,Chicago,IL,7,193,10," 1,930.00 ",1/1/2023
2024,Glossy Lip Stain,Lips,Las Vegas,NV,4,188,8," 1,504.00 ",10/1/2024
2021,Illuminating Highlighter,Face,Boston,MA,9,60,25," 1,500.00 ",9/1/2021
2023,Cream Blush,Face,Phoenix,AZ,5,161,25," 4,025.00 ",10/1/2023
2023,Illuminating Highlighter,Face,Dallas,TX,19,116,25," 2,900.00 ",7/1/2023
2024,Precision Eyeliner,Eyes,Boston,MA,14,77,10, 770.00 ,2/1/2024
2022,Velvet Eyeshadow Palette,Eyes,Washington D.C.,DC,3,113,20," 2,260.00 ",6/1/2022
2024,Velvet Eyeshadow Palette,Eyes,Las Vegas,NV,11,168,20," 3,360.00 ",10/1/2024
2021,Luxe Mascara,Eyes,Phoenix,AZ,15,107,15," 1,605.00 ",2/1/2021
2022,Cream Blush,Face,San Diego,CA,9,197,25," 4,925.00 ",12/1/2022
2022,Precision Eyeliner,Eyes,Houston,TX,16,181,10," 1,810.00 ",4/1/2022
2024,Matte Liquid Lipstick,Lips,Miami,FL,19,176,12," 2,112.00 ",11/1/2024
2023,Precision Eyeliner,Eyes,Las Vegas,NV,11,119,10," 1,190.00 ",1/1/2023
2021,Matte Liquid Lipstick,Lips,Philadelphia,PA,15,74,12, 888.00 ,3/1/2021
2022,Velvet Eyeshadow Palette,Eyes,Miami,FL,18,100,20," 2,000.00 ",7/1/2022
2023,Glossy Lip Stain,Lips,Boston,MA,15,100,8, 800.00 ,5/1/2023
2022,Matte Liquid Lipstick,Lips,Philadelphia,PA,18,198,12," 2,376.00 ",1/1/2022
2021,Velvet Eyeshadow Palette,Eyes,San Diego,CA,16,93,20," 1,860.00 ",2/1/2021
2022,Glossy Lip Stain,Lips,New York,NY,18,94,8, 752.00 ,11/1/2022
2023,Luxe Mascara,Eyes,Phoenix,AZ,8,146,15," 2,190.00 ",2/1/2023
2023,Matte Liquid Lipstick,Lips,Houston,TX,11,104,12," 1,248.00 ",3/1/2023
2022,Lip Liner Cream Pencil,Lips,Detroit,MI,19,84,10, 840.00 ,10/1/2022
2024,Flawless Foundation,Face,Philadelphia,PA,3,166,40," 6,640.00 ",12/1/2024
2022,Cream Blush,Face,San Francisco,CA,8,115,25," 2,875.00 ",12/1/2022
2021,Precision Eyeliner,Eyes,Los Angeles,CA,19,195,10," 1,950.00 ",8/1/2021
2023,Matte Liquid Lipstick,Lips,Las Vegas,NV,8,58,12, 696.00 ,10/1/2023
2024,Lip Liner Cream Pencil,Lips,Philadelphia,PA,7,90,10, 900.00 ,7/1/2024
2022,Precision Eyeliner,Eyes,San Francisco,CA,19,125,10," 1,250.00 ",9/1/2022
2024,Lip Liner Cream Pencil,Lips,New York,NY,4,46,10, 460.00 ,3/1/2024
2024,Illuminating Highlighter,Face,Los Angeles,CA,8,105,25," 2,625.00 ",2/1/2024
2022,Velvet Eyeshadow Palette,Eyes,Detroit,MI,10,48,20, 960.00 ,7/1/2022
2024,Velvet Eyeshadow Palette,Eyes,Detroit,MI,4,137,20," 2,740.00 ",1/1/2024
2023,Precision Eyeliner,Eyes,Phoenix,AZ,3,107,10," 1,070.00 ",12/1/2023
2021,Luxe Mascara,Eyes,Dallas,TX,12,108,15," 1,620.00 ",9/1/2021
2023,Glossy Lip Stain,Lips,Houston,TX,7,151,8," 1,208.00 ",6/1/2023
2024,Lip Liner Cream Pencil,Lips,Philadelphia,PA,14,114,10," 1,140.00 ",3/1/2024
2024,Velvet Eyeshadow Palette,Eyes,Washington D.C.,DC,14,97,20," 1,940.00 ",6/1/2024
2023,Matte Liquid Lipstick,Lips,Houston,TX,5,177,12," 2,124.00 ",1/1/2023
2021,Glossy Lip Stain,Lips,Los Angeles,CA,10,199,8," 1,592.00 ",10/1/2021
2024,Glossy Lip Stain,Lips,New York,NY,11,179,8," 1,432.00 ",10/1/2024
2024,Radiant Concealer,Face,Atlanta,GA,19,199,30," 5,970.00 ",1/1/2024
2023,Illuminating Highlighter,Face,Washington D.C.,DC,17,134,25," 3,350.00 ",3/1/2023
2021,Velvet Eyeshadow Palette,Eyes,Los Angeles,CA,12,102,20," 2,040.00 ",12/1/2021
2023,Matte Liquid Lipstick,Lips,Philadelphia,PA,8,103,12," 1,236.00 ",4/1/2023
2024,Matte Liquid Lipstick,Lips,Phoenix,AZ,19,120,12," 1,440.00 ",10/1/2024
2021,Luxe Mascara,Eyes,Detroit,MI,9,196,15," 2,940.00 ",1/1/2021
2023,Radiant Concealer,Face,Philadelphia,PA,16,195,30," 5,850.00 ",10/1/2023
2021,Flawless Foundation,Face,Boston,MA,12,148,40," 5,920.00 ",1/1/2021
2022,Flawless Foundation,Face,Washington D.C.,DC,11,40,40," 1,600.00 ",11/1/2022
2021,Matte Liquid Lipstick,Lips,San Diego,CA,11,92,12," 1,104.00 ",3/1/2021
2022,Illuminating Highlighter,Face,Phoenix,AZ,8,152,25," 3,800.00 ",2/1/2022
2021,Precision Eyeliner,Eyes,Las Vegas,NV,11,50,10, 500.00 ,11/1/2021
2021,Velvet Eyeshadow Palette,Eyes,Las Vegas,NV,12,102,20," 2,040.00 ",9/1/2021
2023,Precision Eyeliner,Eyes,Boston,MA,4,125,10," 1,250.00 ",11/1/2023
2022,Precision Eyeliner,Eyes,Miami,FL,18,172,10," 1,720.00 ",2/1/2022
2023,Luxe Mascara,Eyes,Chicago,IL,15,172,15," 2,580.00 ",10/1/2023
2024,Illuminating Highlighter,Face,Philadelphia,PA,19,159,25," 3,975.00 ",1/1/2024
2024,Cream Blush,Face,San Francisco,CA,7,49,25," 1,225.00 ",2/1/2024
2024,Flawless Foundation,Face,New York,NY,9,57,40," 2,280.00 ",4/1/2024
2022,Flawless Foundation,Face,Boston,MA,18,139,40," 5,560.00 ",2/1/2022
2024,Luxe Mascara,Eyes,Phoenix,AZ,4,66,15, 990.00 ,6/1/2024
2023,Glossy Lip Stain,Lips,Atlanta,GA,17,87,8, 696.00 ,7/1/2023
2022,Flawless Foundation,Face,Houston,TX,3,66,40," 2,640.00 ",12/1/2022
2023,Glossy Lip Stain,Lips,Boston,MA,13,119,8, 952.00 ,9/1/2023
2023,Radiant Concealer,Face,Philadelphia,PA,18,88,30," 2,640.00 ",4/1/2023
2022,Luxe Mascara,Eyes,Chicago,IL,19,87,15," 1,305.00 ",10/1/2022
2023,Illuminating Highlighter,Face,Phoenix,AZ,16,81,25," 2,025.00 ",3/1/2023
2024,Radiant Concealer,Face,Los Angeles,CA,1,72,30," 2,160.00 ",7/1/2024
2022,Cream Blush,Face,Philadelphia,PA,10,69,25," 1,725.00 ",5/1/2022
2024,Flawless Foundation,Face,San Diego,CA,14,184,40," 7,360.00 ",9/1/2024
2023,Flawless Foundation,Face,Atlanta,GA,1,179,40," 7,160.00 ",12/1/2023
2023,Luxe Mascara,Eyes,Atlanta,GA,8,132,15," 1,980.00 ",3/1/2023
2023,Illuminating Highlighter,Face,Chicago,IL,2,131,25," 3,275.00 ",6/1/2023
2024,Illuminating Highlighter,Face,San Francisco,CA,1,166,25," 4,150.00 ",11/1/2024
2024,Lip Liner Cream Pencil,Lips,San Francisco,CA,2,54,10, 540.00 ,10/1/2024
2021,Matte Liquid Lipstick,Lips,Philadelphia,PA,11,92,12," 1,104.00 ",7/1/2021
2022,Illuminating Highlighter,Face,Phoenix,AZ,19,123,25," 3,075.00 ",3/1/2022
2021,Velvet Eyeshadow Palette,Eyes,New York,NY,12,44,20, 880.00 ,3/1/2021
2024,Luxe Mascara,Eyes,San Diego,CA,18,54,15, 810.00 ,6/1/2024
2024,Illuminating Highlighter,Face,San Francisco,CA,2,198,25," 4,950.00 ",8/1/2024
2024,Glossy Lip Stain,Lips,Philadelphia,PA,7,125,8," 1,000.00 ",9/1/2024
2022,Illuminating Highlighter,Face,Washington D.C.,DC,3,104,25," 2,600.00 ",9/1/2022
2021,Lip Liner Cream Pencil,Lips,New York,NY,3,161,10," 1,610.00 ",12/1/2021
2023,Radiant Concealer,Face,Houston,TX,17,147,30," 4,410.00 ",11/1/2023
2023,Flawless Foundation,Face,Washington D.C.,DC,15,149,40," 5,960.00 ",1/1/2023
2024,Lip Liner Cream Pencil,Lips,Houston,TX,5,42,10, 420.00 ,9/1/2024
2024,Glossy Lip Stain,Lips,San Diego,CA,2,123,8, 984.00 ,9/1/2024
